  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  0.000000000000000000E+000  9.999999999999997780E-001  0.000000000000000000E+000  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804017685E-001  0.000000000000000000E+000  9.685078409804017685E-001
  3.162343523004788914E-006  9.999999999999997780E-001 -1.694065894508600678E-020 -2.710505431213761085E-020  0.000000000000000000E+000  9.685078409804022126E-001  1.206633443333518638E-004  9.683871776360697403E-001
  6.640921398310057396E-006  9.999999999999998890E-001  0.000000000000000000E+000 -4.065758146820641628E-020  0.000000000000000000E+000  9.685078409804086519E-001  5.215975907366056288E-004  9.679862433896713192E-001
  1.046735706114585137E-005  9.999999999999997780E-001 -1.626303258728256651E-019  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804077637E-001  1.261477277194672595E-003  9.672463637032137074E-001
  1.467643629026522712E-005  1.000000000000000000E+000 -2.710505431213761085E-020  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804076527E-001  2.395503460693876492E-003  9.661123375197133711E-001
  1.930642344229654077E-005  9.999999999999997780E-001  2.168404344971008868E-019  5.421010862427522170E-020  0.000000000000000000E+000  9.685078409804073196E-001  3.964877960605724637E-003  9.645429630198021353E-001
  2.439940930953098580E-005  9.999999999999997780E-001 -2.710505431213761085E-020  8.673617379884035472E-019  0.000000000000000000E+000  9.685078409804074306E-001  5.984038324659880261E-003  9.625238026557469961E-001
  3.000169376348887668E-005  1.000000000000000000E+000  4.878909776184769953E-019  1.084202172485504434E-019  0.000000000000000000E+000  9.685078409804075417E-001  8.441039804240969835E-003  9.600668011761668286E-001
  3.616420666284256139E-005  9.999999999999997780E-001  4.336808689942017736E-019  1.084202172485504434E-019  0.000000000000000000E+000  9.685078409804064314E-001  1.129490676753736218E-002  9.572129342128692375E-001
  4.294297085213160780E-005  1.000000000000000000E+000 -3.252606517456513302E-019 -8.673617379884035472E-019  0.000000000000000000E+000  9.685078409804058763E-001  1.446617299267096909E-002  9.540416679877349315E-001
  5.039961146034956021E-005  9.999999999999997780E-001 -2.710505431213761085E-019  8.673617379884035472E-019  0.000000000000000000E+000  9.685078409804070976E-001  1.790847684653987248E-002  9.505993641338650324E-001
